all wave.n.01 movement.n.03, no ending.n.04 movement.n.03: some-not wave.n.01 ending.n.04; all wave.n.01 ending.n.04
all prospector.n.01 miner.n.01, no lumberman.n.01 miner.n.01: some-not prospector.n.01 lumberman.n.01; all prospector.n.01 lumberman.n.01
all fortress.n.01 defensive_structure.n.01, no signboard.n.01 defensive_structure.n.01: some-not fortress.n.01 signboard.n.01; all fortress.n.01 signboard.n.01
all neurologist.n.01 specialist.n.02, no surgeon.n.01 specialist.n.02: some-not neurologist.n.01 surgeon.n.01; all neurologist.n.01 surgeon.n.01
all metallic_element.n.01 chemical_element.n.01, no medium.n.07 chemical_element.n.01: some-not metallic_element.n.01 medium.n.07; all metallic_element.n.01 medium.n.07
all berry.n.01 edible_fruit.n.01, no vegetable.n.01 edible_fruit.n.01: some-not berry.n.01 vegetable.n.01; all berry.n.01 vegetable.n.01
all barrier.n.03 mechanism.n.03, no covering.n.01 mechanism.n.03: some-not barrier.n.03 covering.n.01; all barrier.n.03 covering.n.01
all nonfiction.n.01 expressive_style.n.01, no message.n.02 expressive_style.n.01: some-not nonfiction.n.01 message.n.02; all nonfiction.n.01 message.n.02
all metallic_element.n.01 chemical_element.n.01, no fluid.n.01 chemical_element.n.01: some-not metallic_element.n.01 fluid.n.01; all metallic_element.n.01 fluid.n.01
all melancholy.n.01 sadness.n.01, no enthusiasm.n.01 sadness.n.01: some-not melancholy.n.01 enthusiasm.n.01; all melancholy.n.01 enthusiasm.n.01
all absence.n.02 nonattendance.n.01, no cooperation.n.01 nonattendance.n.01: some-not absence.n.02 cooperation.n.01; all absence.n.02 cooperation.n.01
all steering.n.02 control.n.05, no gambling.n.01 control.n.05: some-not steering.n.02 gambling.n.01; all steering.n.02 gambling.n.01
all soil.n.02 earth.n.02, no paper.n.01 earth.n.02: some-not soil.n.02 paper.n.01; all soil.n.02 paper.n.01
all motor_vehicle.n.01 wheeled_vehicle.n.01, no craft.n.02 wheeled_vehicle.n.01: some-not motor_vehicle.n.01 craft.n.02; all motor_vehicle.n.01 craft.n.02
all affairs.n.02 transaction.n.01, no cooperation.n.01 transaction.n.01: some-not affairs.n.02 cooperation.n.01; all affairs.n.02 cooperation.n.01
all language_unit.n.01 relation.n.01, no attribute.n.02 relation.n.01: some-not language_unit.n.01 attribute.n.02; all language_unit.n.01 attribute.n.02
all representative.n.01 negotiator.n.01, no respondent.n.02 negotiator.n.01: some-not representative.n.01 respondent.n.02; all representative.n.01 respondent.n.02
all press.n.02 medium.n.01, no toiletry.n.01 medium.n.01: some-not press.n.02 toiletry.n.01; all press.n.02 toiletry.n.01
all algonquian.n.01 amerindian.n.01, no spouse.n.01 amerindian.n.01: some-not algonquian.n.01 spouse.n.01; all algonquian.n.01 spouse.n.01
all van.n.05 truck.n.01, no car.n.01 truck.n.01: some-not van.n.05 car.n.01; all van.n.05 car.n.01
all print_media.n.01 medium.n.01, no connection.n.03 medium.n.01: some-not print_media.n.01 connection.n.03; all print_media.n.01 connection.n.03
all carthaginian.n.01 african.n.01, no programmer.n.01 african.n.01: some-not carthaginian.n.01 programmer.n.01; all carthaginian.n.01 programmer.n.01
all eruption.n.02 cognition.n.01, no singing.n.01 cognition.n.01: some-not eruption.n.02 singing.n.01; all eruption.n.02 singing.n.01
all bonus.n.02 relation.n.01, no temperature.n.01 relation.n.01: some-not bonus.n.02 temperature.n.01; all bonus.n.02 temperature.n.01
all knowledge_domain.n.01 psychological_feature.n.01, no group.n.01 psychological_feature.n.01: some-not knowledge_domain.n.01 group.n.01; all knowledge_domain.n.01 group.n.01
all carbon.n.01 chemical_element.n.01, no mixture.n.01 chemical_element.n.01: some-not carbon.n.01 mixture.n.01; all carbon.n.01 mixture.n.01
all self-propelled_vehicle.n.01 wheeled_vehicle.n.01, no craft.n.02 wheeled_vehicle.n.01: some-not self-propelled_vehicle.n.01 craft.n.02; all self-propelled_vehicle.n.01 craft.n.02
all profanity.n.01 auditory_communication.n.01, no blues.n.01 auditory_communication.n.01: some-not profanity.n.01 blues.n.01; all profanity.n.01 blues.n.01
all plant_organ.n.01 plant_part.n.01, no constellation.n.02 plant_part.n.01: some-not plant_organ.n.01 constellation.n.02; all plant_organ.n.01 constellation.n.02
all organic.n.01 fertilizer.n.01, no softener.n.01 fertilizer.n.01: some-not organic.n.01 softener.n.01; all organic.n.01 softener.n.01
all sociologist.n.01 social_scientist.n.01, no linguist.n.01 social_scientist.n.01: some-not sociologist.n.01 linguist.n.01; all sociologist.n.01 linguist.n.01
all pill.n.01 thing.n.04, no instrumentality.n.03 thing.n.04: some-not pill.n.01 instrumentality.n.03; all pill.n.01 instrumentality.n.03
all fete.n.01 affair.n.03, no show.n.03 affair.n.03: some-not fete.n.01 show.n.03; all fete.n.01 show.n.03
all hair.n.01 body_covering.n.01, no bark.n.01 body_covering.n.01: some-not hair.n.01 bark.n.01; all hair.n.01 bark.n.01
all representative.n.01 negotiator.n.01, no propagandist.n.01 negotiator.n.01: some-not representative.n.01 propagandist.n.01; all representative.n.01 propagandist.n.01
all print_media.n.01 medium.n.01, no container.n.01 medium.n.01: some-not print_media.n.01 container.n.01; all print_media.n.01 container.n.01
all activity.n.01 psychological_feature.n.01, no set.n.02 psychological_feature.n.01: some-not activity.n.01 set.n.02; all activity.n.01 set.n.02
all prize.n.01 possession.n.02, no part.n.01 possession.n.02: some-not prize.n.01 part.n.01; all prize.n.01 part.n.01
all embarrassment.n.01 shame.n.01, no dislike.n.02 shame.n.01: some-not embarrassment.n.01 dislike.n.02; all embarrassment.n.01 dislike.n.02
all withdrawal.n.03 departure.n.01, no touch.n.05 departure.n.01: some-not withdrawal.n.03 touch.n.05; all withdrawal.n.03 touch.n.05
all anemia.n.01 dyscrasia.n.01, no illness.n.01 dyscrasia.n.01: some-not anemia.n.01 illness.n.01; all anemia.n.01 illness.n.01
all screenwriter.n.01 scriptwriter.n.01, no dramatist.n.01 scriptwriter.n.01: some-not screenwriter.n.01 dramatist.n.01; all screenwriter.n.01 dramatist.n.01
all evacuation.n.02 departure.n.01, no rejection.n.01 departure.n.01: some-not evacuation.n.02 rejection.n.01; all evacuation.n.02 rejection.n.01
all sadism.n.01 sexual_pleasure.n.01, no enjoyment.n.01 sexual_pleasure.n.01: some-not sadism.n.01 enjoyment.n.01; all sadism.n.01 enjoyment.n.01
all tent.n.01 shelter.n.01, no house.n.01 shelter.n.01: some-not tent.n.01 house.n.01; all tent.n.01 house.n.01
all fuel.n.01 substance.n.07, no sediment.n.01 substance.n.07: some-not fuel.n.01 sediment.n.01; all fuel.n.01 sediment.n.01
all sociologist.n.01 social_scientist.n.01, no chemist.n.01 social_scientist.n.01: some-not sociologist.n.01 chemist.n.01; all sociologist.n.01 chemist.n.01
all measurement.n.01 psychological_feature.n.01, no measure.n.02 psychological_feature.n.01: some-not measurement.n.01 measure.n.02; all measurement.n.01 measure.n.02
all storehouse.n.01 facility.n.01, no structure.n.01 facility.n.01: some-not storehouse.n.01 structure.n.01; all storehouse.n.01 structure.n.01
all granary.n.01 facility.n.01, no layer.n.01 facility.n.01: some-not granary.n.01 layer.n.01; all granary.n.01 layer.n.01
all polysaccharide.n.01 carbohydrate.n.01, no protein.n.01 carbohydrate.n.01: some-not polysaccharide.n.01 protein.n.01; all polysaccharide.n.01 protein.n.01
all compassion.n.01 sympathy.n.02, no enthusiasm.n.01 sympathy.n.02: some-not compassion.n.01 enthusiasm.n.01; all compassion.n.01 enthusiasm.n.01
all act.n.02 psychological_feature.n.01, no temperature.n.01 psychological_feature.n.01: some-not act.n.02 temperature.n.01; all act.n.02 temperature.n.01
all lever.n.01 bar.n.03, no sharpener.n.01 bar.n.03: some-not lever.n.01 sharpener.n.01; all lever.n.01 sharpener.n.01
all crystal.n.01 solid.n.01, no coal.n.01 solid.n.01: some-not crystal.n.01 coal.n.01; all crystal.n.01 coal.n.01
all magnitude_relation.n.01 relation.n.01, no communication.n.02 relation.n.01: some-not magnitude_relation.n.01 communication.n.02; all magnitude_relation.n.01 communication.n.02
all analysis.n.01 investigation.n.02, no wash.n.02 investigation.n.02: some-not analysis.n.01 wash.n.02; all analysis.n.01 wash.n.02
all emblem.n.02 process.n.02, no process.n.04 process.n.02: some-not emblem.n.02 process.n.04; all emblem.n.02 process.n.04
all female_aristocrat.n.01 aristocrat.n.01, no head.n.04 aristocrat.n.01: some-not female_aristocrat.n.01 head.n.04; all female_aristocrat.n.01 head.n.04
all amino.n.01 group.n.02, no molecule.n.01 group.n.02: some-not amino.n.01 molecule.n.01; all amino.n.01 molecule.n.01
all writing.n.02 written_communication.n.01, no blues.n.01 written_communication.n.01: some-not writing.n.02 blues.n.01; all writing.n.02 blues.n.01
all storehouse.n.01 facility.n.01, no aquarium.n.01 facility.n.01: some-not storehouse.n.01 aquarium.n.01; all storehouse.n.01 aquarium.n.01
all dessert.n.01 course.n.07, no dish.n.02 course.n.07: some-not dessert.n.01 dish.n.02; all dessert.n.01 dish.n.02
all gesture.n.02 visual_communication.n.01, no document.n.03 visual_communication.n.01: some-not gesture.n.02 document.n.03; all gesture.n.02 document.n.03
all principality.n.01 domain.n.02, no area.n.01 domain.n.02: some-not principality.n.01 area.n.01; all principality.n.01 area.n.01
all cube.n.05 block.n.01, no sheet.n.06 block.n.01: some-not cube.n.05 sheet.n.06; all cube.n.05 sheet.n.06
all pool.n.01 excavation.n.03, no facility.n.04 excavation.n.03: some-not pool.n.01 facility.n.04; all pool.n.01 facility.n.04
all act.n.01 legal_document.n.01, no form.n.08 legal_document.n.01: some-not act.n.01 form.n.08; all act.n.01 form.n.08
all fiber.n.03 living_thing.n.01, no artifact.n.01 living_thing.n.01: some-not fiber.n.03 artifact.n.01; all fiber.n.03 artifact.n.01
all volcano.n.02 mountain.n.01, no promontory.n.01 mountain.n.01: some-not volcano.n.02 promontory.n.01; all volcano.n.02 promontory.n.01
all truism.n.01 truth.n.03, no remark.n.01 truth.n.03: some-not truism.n.01 remark.n.01; all truism.n.01 remark.n.01
all press.n.02 medium.n.01, no implement.n.01 medium.n.01: some-not press.n.02 implement.n.01; all press.n.02 implement.n.01
all vehicle.n.01 conveyance.n.03, no implement.n.01 conveyance.n.03: some-not vehicle.n.01 implement.n.01; all vehicle.n.01 implement.n.01
all print_media.n.01 medium.n.01, no weaponry.n.01 medium.n.01: some-not print_media.n.01 weaponry.n.01; all print_media.n.01 weaponry.n.01
all granary.n.01 facility.n.01, no instrumentality.n.03 facility.n.01: some-not granary.n.01 instrumentality.n.03; all granary.n.01 instrumentality.n.03
all abbess.n.01 superior.n.02, no nun.n.01 superior.n.02: some-not abbess.n.01 nun.n.01; all abbess.n.01 nun.n.01
all copy.n.02 representation.n.02, no product.n.02 representation.n.02: some-not copy.n.02 product.n.02; all copy.n.02 product.n.02
all tableland.n.01 highland.n.01, no promontory.n.01 highland.n.01: some-not tableland.n.01 promontory.n.01; all tableland.n.01 promontory.n.01
all vector.n.03 causal_agent.n.01, no object.n.01 causal_agent.n.01: some-not vector.n.03 object.n.01; all vector.n.03 object.n.01
all happiness.n.01 emotional_state.n.01, no anxiety.n.02 emotional_state.n.01: some-not happiness.n.01 anxiety.n.02; all happiness.n.01 anxiety.n.02
all corticosteroid.n.01 steroid_hormone.n.01, no glucocorticoid.n.01 steroid_hormone.n.01: some-not corticosteroid.n.01 glucocorticoid.n.01; all corticosteroid.n.01 glucocorticoid.n.01
all brass.n.02 wind_instrument.n.01, no bass.n.07 wind_instrument.n.01: some-not brass.n.02 bass.n.07; all brass.n.02 bass.n.07
all apprehension.n.01 fear.n.01, no anxiety.n.02 fear.n.01: some-not apprehension.n.01 anxiety.n.02; all apprehension.n.01 anxiety.n.02
all affair.n.03 social_event.n.01, no act.n.02 social_event.n.01: some-not affair.n.03 act.n.02; all affair.n.03 act.n.02
all lithographer.n.01 printmaker.n.01, no maestro.n.01 printmaker.n.01: some-not lithographer.n.01 maestro.n.01; all lithographer.n.01 maestro.n.01
all founder.n.02 originator.n.01, no choreographer.n.01 originator.n.01: some-not founder.n.02 choreographer.n.01; all founder.n.02 choreographer.n.01
all extremity.n.05 external_body_part.n.01, no system.n.06 external_body_part.n.01: some-not extremity.n.05 system.n.06; all extremity.n.05 system.n.06
all gonadotropin.n.01 body_substance.n.01, no medium.n.07 body_substance.n.01: some-not gonadotropin.n.01 medium.n.07; all gonadotropin.n.01 medium.n.07
all genealogy.n.01 kin.n.02, no subculture.n.01 kin.n.02: some-not genealogy.n.01 subculture.n.01; all genealogy.n.01 subculture.n.01
all peptide.n.01 amide.n.01, no ester.n.01 amide.n.01: some-not peptide.n.01 ester.n.01; all peptide.n.01 ester.n.01
all recording.n.03 memory_device.n.01, no applicator.n.01 memory_device.n.01: some-not recording.n.03 applicator.n.01; all recording.n.03 applicator.n.01
all gift.n.01 acquisition.n.02, no loss.n.01 acquisition.n.02: some-not gift.n.01 loss.n.01; all gift.n.01 loss.n.01
all particle.n.02 body.n.04, no constellation.n.02 body.n.04: some-not particle.n.02 constellation.n.02; all particle.n.02 constellation.n.02
all tableware.n.01 article.n.02, no plaything.n.01 article.n.02: some-not tableware.n.01 plaything.n.01; all tableware.n.01 plaything.n.01
all steering.n.02 control.n.05, no operation.n.05 control.n.05: some-not steering.n.02 operation.n.05; all steering.n.02 operation.n.05
all news.n.02 information.n.01, no refusal.n.02 information.n.01: some-not news.n.02 refusal.n.02; all news.n.02 refusal.n.02
all contraception.n.01 preparation.n.01, no diversion.n.01 preparation.n.01: some-not contraception.n.01 diversion.n.01; all contraception.n.01 diversion.n.01
all print_media.n.01 medium.n.01, no toiletry.n.01 medium.n.01: some-not print_media.n.01 toiletry.n.01; all print_media.n.01 toiletry.n.01
all criminal.n.01 principal.n.05, no attacker.n.01 principal.n.05: some-not criminal.n.01 attacker.n.01; all criminal.n.01 attacker.n.01
all peripheral.n.01 electronic_equipment.n.01, no satellite.n.01 electronic_equipment.n.01: some-not peripheral.n.01 satellite.n.01; all peripheral.n.01 satellite.n.01
all lithographer.n.01 printmaker.n.01, no photographer.n.01 printmaker.n.01: some-not lithographer.n.01 photographer.n.01; all lithographer.n.01 photographer.n.01
all coach.n.01 trainer.n.01, no hero.n.01 trainer.n.01: some-not coach.n.01 hero.n.01; all coach.n.01 hero.n.01
all photograph.n.01 representation.n.02, no art.n.01 representation.n.02: some-not photograph.n.01 art.n.01; all photograph.n.01 art.n.01
all happening.n.01 psychological_feature.n.01, no set.n.02 psychological_feature.n.01: some-not happening.n.01 set.n.02; all happening.n.01 set.n.02
all liquid_body_substance.n.01 body_substance.n.01, no mixture.n.01 body_substance.n.01: some-not liquid_body_substance.n.01 mixture.n.01; all liquid_body_substance.n.01 mixture.n.01
all county.n.01 region.n.01, no point.n.02 region.n.01: some-not county.n.01 point.n.02; all county.n.01 point.n.02
all language_unit.n.01 relation.n.01, no group.n.01 relation.n.01: some-not language_unit.n.01 group.n.01; all language_unit.n.01 group.n.01
all believer.n.02 religious_person.n.01, no judge.n.01 religious_person.n.01: some-not believer.n.02 judge.n.01; all believer.n.02 judge.n.01
all handle.n.01 appendage.n.03, no component.n.03 appendage.n.03: some-not handle.n.01 component.n.03; all handle.n.01 component.n.03
all aldohexose.n.01 monosaccharide.n.01, no polysaccharide.n.01 monosaccharide.n.01: some-not aldohexose.n.01 polysaccharide.n.01; all aldohexose.n.01 polysaccharide.n.01
all jewelry_maker.n.01 maker.n.01, no architect.n.01 maker.n.01: some-not jewelry_maker.n.01 architect.n.01; all jewelry_maker.n.01 architect.n.01
all appellation.n.01 relation.n.01, no attribute.n.02 relation.n.01: some-not appellation.n.01 attribute.n.02; all appellation.n.01 attribute.n.02
all representation.n.02 creation.n.02, no covering.n.02 creation.n.02: some-not representation.n.02 covering.n.02; all representation.n.02 covering.n.02
all rope.n.01 line.n.18, no decoration.n.01 line.n.18: some-not rope.n.01 decoration.n.01; all rope.n.01 decoration.n.01
all filler.n.01 sealing_material.n.01, no waste.n.01 sealing_material.n.01: some-not filler.n.01 waste.n.01; all filler.n.01 waste.n.01
all action.n.01 psychological_feature.n.01, no temperature.n.01 psychological_feature.n.01: some-not action.n.01 temperature.n.01; all action.n.01 temperature.n.01
all pool.n.01 excavation.n.03, no layer.n.01 excavation.n.03: some-not pool.n.01 layer.n.01; all pool.n.01 layer.n.01
all publisher.n.03 owner.n.01, no industrialist.n.01 owner.n.01: some-not publisher.n.03 industrialist.n.01; all publisher.n.03 industrialist.n.01
all representation.n.01 psychological_feature.n.01, no measure.n.02 psychological_feature.n.01: some-not representation.n.01 measure.n.02; all representation.n.01 measure.n.02
all lye.n.01 caustic.n.01, no nitrate.n.01 caustic.n.01: some-not lye.n.01 nitrate.n.01; all lye.n.01 nitrate.n.01
all character.n.03 trait.n.01, no space.n.01 trait.n.01: some-not character.n.03 space.n.01; all character.n.03 space.n.01
all vehicle.n.01 conveyance.n.03, no container.n.01 conveyance.n.03: some-not vehicle.n.01 container.n.01; all vehicle.n.01 container.n.01
all descent.n.01 movement.n.03, no success.n.01 movement.n.03: some-not descent.n.01 success.n.01; all descent.n.01 success.n.01
all cube.n.05 block.n.01, no covering.n.02 block.n.01: some-not cube.n.05 covering.n.02; all cube.n.05 covering.n.02
all masochism.n.01 sexual_pleasure.n.01, no enjoyment.n.01 sexual_pleasure.n.01: some-not masochism.n.01 enjoyment.n.01; all masochism.n.01 enjoyment.n.01
all english_person.n.01 britisher.n.01, no frank.n.01 britisher.n.01: some-not english_person.n.01 frank.n.01; all english_person.n.01 frank.n.01
all aluminum.n.01 chemical_element.n.01, no medium.n.07 chemical_element.n.01: some-not aluminum.n.01 medium.n.07; all aluminum.n.01 medium.n.07
all terrorist.n.01 radical.n.03, no adjudicator.n.01 radical.n.03: some-not terrorist.n.01 adjudicator.n.01; all terrorist.n.01 adjudicator.n.01
all apprehension.n.01 fear.n.01, no hate.n.01 fear.n.01: some-not apprehension.n.01 hate.n.01; all apprehension.n.01 hate.n.01
all ware.n.01 article.n.02, no fabric.n.01 article.n.02: some-not ware.n.01 fabric.n.01; all ware.n.01 fabric.n.01
all promontory.n.01 geological_formation.n.01, no part.n.02 geological_formation.n.01: some-not promontory.n.01 part.n.02; all promontory.n.01 part.n.02
all title.n.02 relation.n.01, no set.n.02 relation.n.01: some-not title.n.02 set.n.02; all title.n.02 set.n.02
all colony.n.01 body.n.02, no movement.n.04 body.n.02: some-not colony.n.01 movement.n.04; all colony.n.01 movement.n.04
all monoamine.n.01 methane_series.n.01, no alkene.n.01 methane_series.n.01: some-not monoamine.n.01 alkene.n.01; all monoamine.n.01 alkene.n.01
all spiritual_being.n.01 cognition.n.01, no dancing.n.01 cognition.n.01: some-not spiritual_being.n.01 dancing.n.01; all spiritual_being.n.01 dancing.n.01
all cube.n.05 block.n.01, no fabric.n.01 block.n.01: some-not cube.n.05 fabric.n.01; all cube.n.05 fabric.n.01
all address.n.03 speech_act.n.01, no touch.n.05 speech_act.n.01: some-not address.n.03 touch.n.05; all address.n.03 touch.n.05
all part.n.01 relation.n.01, no temperature.n.01 relation.n.01: some-not part.n.01 temperature.n.01; all part.n.01 temperature.n.01
all lord.n.03 male_aristocrat.n.01, no prince.n.01 male_aristocrat.n.01: some-not lord.n.03 prince.n.01; all lord.n.03 prince.n.01
all profession.n.02 occupation.n.01, no procedure.n.01 occupation.n.01: some-not profession.n.02 procedure.n.01; all profession.n.02 procedure.n.01
all embarrassment.n.01 state.n.02, no shape.n.02 state.n.02: some-not embarrassment.n.01 shape.n.02; all embarrassment.n.01 shape.n.02
all appearance.n.01 quality.n.01, no property.n.02 quality.n.01: some-not appearance.n.01 property.n.02; all appearance.n.01 property.n.02
all school.n.04 body.n.02, no movement.n.04 body.n.02: some-not school.n.04 movement.n.04; all school.n.04 movement.n.04
all confectioner.n.01 maker.n.01, no architect.n.01 maker.n.01: some-not confectioner.n.01 architect.n.01; all confectioner.n.01 architect.n.01
all disciple.n.01 follower.n.01, no unfortunate.n.01 follower.n.01: some-not disciple.n.01 unfortunate.n.01; all disciple.n.01 unfortunate.n.01
all continent.n.01 landmass.n.01, no island.n.01 landmass.n.01: some-not continent.n.01 island.n.01; all continent.n.01 island.n.01
all martyr.n.01 victim.n.01, no mourner.n.01 victim.n.01: some-not martyr.n.01 mourner.n.01; all martyr.n.01 mourner.n.01
all caretaker.n.01 custodian.n.01, no fireman.n.04 custodian.n.01: some-not caretaker.n.01 fireman.n.04; all caretaker.n.01 fireman.n.04
all part.n.01 relation.n.01, no set.n.02 relation.n.01: some-not part.n.01 set.n.02; all part.n.01 set.n.02
all technique.n.01 know-how.n.01, no creativity.n.01 know-how.n.01: some-not technique.n.01 creativity.n.01; all technique.n.01 creativity.n.01
all priest.n.02 spiritual_leader.n.01, no hero.n.01 spiritual_leader.n.01: some-not priest.n.02 hero.n.01; all priest.n.02 hero.n.01
all language_unit.n.01 relation.n.01, no temperature.n.01 relation.n.01: some-not language_unit.n.01 temperature.n.01; all language_unit.n.01 temperature.n.01
all catalyst.n.01 activator.n.01, no medium.n.07 activator.n.01: some-not catalyst.n.01 medium.n.07; all catalyst.n.01 medium.n.07
all founder.n.02 originator.n.01, no producer.n.02 originator.n.01: some-not founder.n.02 producer.n.02; all founder.n.02 producer.n.02
all organic.n.01 fertilizer.n.01, no pesticide.n.01 fertilizer.n.01: some-not organic.n.01 pesticide.n.01; all organic.n.01 pesticide.n.01
all strip.n.05 lumber.n.01, no stone.n.02 lumber.n.01: some-not strip.n.05 stone.n.02; all strip.n.05 stone.n.02
all mariner.n.01 sailor.n.01, no printer.n.01 sailor.n.01: some-not mariner.n.01 printer.n.01; all mariner.n.01 printer.n.01
all happiness.n.01 emotional_state.n.01, no joy.n.01 emotional_state.n.01: some-not happiness.n.01 joy.n.01; all happiness.n.01 joy.n.01
all bullfighter.n.01 person.n.01, no agent.n.01 person.n.01: some-not bullfighter.n.01 agent.n.01; all bullfighter.n.01 agent.n.01
all speaker.n.01 articulator.n.01, no propagandist.n.01 articulator.n.01: some-not speaker.n.01 propagandist.n.01; all speaker.n.01 propagandist.n.01
all founder.n.02 originator.n.01, no artist.n.01 originator.n.01: some-not founder.n.02 artist.n.01; all founder.n.02 artist.n.01
all strip.n.05 building_material.n.01, no structure.n.01 building_material.n.01: some-not strip.n.05 structure.n.01; all strip.n.05 structure.n.01
all happening.n.01 psychological_feature.n.01, no temperature.n.01 psychological_feature.n.01: some-not happening.n.01 temperature.n.01; all happening.n.01 temperature.n.01
all vehicle.n.01 conveyance.n.03, no weaponry.n.01 conveyance.n.03: some-not vehicle.n.01 weaponry.n.01; all vehicle.n.01 weaponry.n.01
all assassin.n.01 murderer.n.01, no traitor.n.01 murderer.n.01: some-not assassin.n.01 traitor.n.01; all assassin.n.01 traitor.n.01
all attack.n.07 affliction.n.03, no noise.n.03 affliction.n.03: some-not attack.n.07 noise.n.03; all attack.n.07 noise.n.03
all cartographer.n.01 geographer.n.01, no logician.n.01 geographer.n.01: some-not cartographer.n.01 logician.n.01; all cartographer.n.01 logician.n.01
all saying.n.01 speech.n.02, no music.n.01 speech.n.02: some-not saying.n.01 music.n.01; all saying.n.01 music.n.01
all crime.n.01 psychological_feature.n.01, no communication.n.02 psychological_feature.n.01: some-not crime.n.01 communication.n.02; all crime.n.01 communication.n.02
all neuroscience.n.01 neurobiology.n.01, no forestry.n.01 neurobiology.n.01: some-not neuroscience.n.01 forestry.n.01; all neuroscience.n.01 forestry.n.01
all symbol.n.02 cognition.n.01, no dancing.n.01 cognition.n.01: some-not symbol.n.02 dancing.n.01; all symbol.n.02 dancing.n.01
all power.n.01 quality.n.01, no shape.n.02 quality.n.01: some-not power.n.01 shape.n.02; all power.n.01 shape.n.02
all pool.n.01 excavation.n.03, no plaything.n.01 excavation.n.03: some-not pool.n.01 plaything.n.01; all pool.n.01 plaything.n.01
all tent.n.01 shelter.n.01, no signboard.n.01 shelter.n.01: some-not tent.n.01 signboard.n.01; all tent.n.01 signboard.n.01
all motor_vehicle.n.01 wheeled_vehicle.n.01, no warplane.n.01 wheeled_vehicle.n.01: some-not motor_vehicle.n.01 warplane.n.01; all motor_vehicle.n.01 warplane.n.01
all use.n.01 psychological_feature.n.01, no group.n.01 psychological_feature.n.01: some-not use.n.01 group.n.01; all use.n.01 group.n.01
all medical_practitioner.n.01 health_professional.n.01, no educator.n.01 health_professional.n.01: some-not medical_practitioner.n.01 educator.n.01; all medical_practitioner.n.01 educator.n.01
all distributor.n.01 supplier.n.01, no businessman.n.01 supplier.n.01: some-not distributor.n.01 businessman.n.01; all distributor.n.01 businessman.n.01
all cattle.n.01 bovid.n.01, no deer.n.01 bovid.n.01: some-not cattle.n.01 deer.n.01; all cattle.n.01 deer.n.01
all art.n.02 creation.n.01, no protection.n.01 creation.n.01: some-not art.n.02 protection.n.01; all art.n.02 protection.n.01
all colonizer.n.01 originator.n.01, no inventor.n.01 originator.n.01: some-not colonizer.n.01 inventor.n.01; all colonizer.n.01 inventor.n.01
all writing_style.n.01 expressive_style.n.01, no document.n.03 expressive_style.n.01: some-not writing_style.n.01 document.n.03; all writing_style.n.01 document.n.03
all plant.n.02 living_thing.n.01, no artifact.n.01 living_thing.n.01: some-not plant.n.02 artifact.n.01; all plant.n.02 artifact.n.01
all car.n.01 wheeled_vehicle.n.01, no rocket.n.01 wheeled_vehicle.n.01: some-not car.n.01 rocket.n.01; all car.n.01 rocket.n.01
all content.n.05 cognition.n.01, no dancing.n.01 cognition.n.01: some-not content.n.05 dancing.n.01; all content.n.05 dancing.n.01
all acquisition.n.02 relation.n.01, no attribute.n.02 relation.n.01: some-not acquisition.n.02 attribute.n.02; all acquisition.n.02 attribute.n.02
all manufacturer.n.02 maker.n.01, no choreographer.n.01 maker.n.01: some-not manufacturer.n.02 choreographer.n.01; all manufacturer.n.02 choreographer.n.01
all aid.n.03 transferred_property.n.01, no assets.n.01 transferred_property.n.01: some-not aid.n.03 assets.n.01; all aid.n.03 assets.n.01
all annoyance.n.02 anger.n.01, no anxiety.n.02 anger.n.01: some-not annoyance.n.02 anxiety.n.02; all annoyance.n.02 anxiety.n.02
all basic_cognitive_process.n.01 psychological_feature.n.01, no communication.n.02 psychological_feature.n.01: some-not basic_cognitive_process.n.01 communication.n.02; all basic_cognitive_process.n.01 communication.n.02
all broadcast.n.01 message.n.01, no message.n.02 message.n.01: some-not broadcast.n.01 message.n.02; all broadcast.n.01 message.n.02
all lithographer.n.01 printmaker.n.01, no painter.n.01 printmaker.n.01: some-not lithographer.n.01 painter.n.01; all lithographer.n.01 painter.n.01
all anatomist.n.01 expert.n.01, no adult.n.01 expert.n.01: some-not anatomist.n.01 adult.n.01; all anatomist.n.01 adult.n.01
all psychiatrist.n.01 health_professional.n.01, no educator.n.01 health_professional.n.01: some-not psychiatrist.n.01 educator.n.01; all psychiatrist.n.01 educator.n.01
all press.n.02 medium.n.01, no furnishing.n.02 medium.n.01: some-not press.n.02 furnishing.n.02; all press.n.02 furnishing.n.02
all flavorer.n.01 ingredient.n.03, no starches.n.01 ingredient.n.03: some-not flavorer.n.01 starches.n.01; all flavorer.n.01 starches.n.01
all program.n.05 announcement.n.02, no remark.n.01 announcement.n.02: some-not program.n.05 remark.n.01; all program.n.05 remark.n.01
all devotion.n.04 event.n.01, no singing.n.01 event.n.01: some-not devotion.n.04 singing.n.01; all devotion.n.04 singing.n.01
all act.n.02 event.n.01, no singing.n.01 event.n.01: some-not act.n.02 singing.n.01; all act.n.02 singing.n.01
all document.n.01 written_communication.n.01, no blues.n.01 written_communication.n.01: some-not document.n.01 blues.n.01; all document.n.01 blues.n.01
all property.n.01 relation.n.01, no measure.n.02 relation.n.01: some-not property.n.01 measure.n.02; all property.n.01 measure.n.02
