all medium.n.07 substance.n.01, all substance.n.01 entity.n.01: some medium.n.07 entity.n.01; no medium.n.07 entity.n.01
all interpreter.n.01 communicator.n.01, all communicator.n.01 entity.n.01: some interpreter.n.01 entity.n.01; no interpreter.n.01 entity.n.01
all substance.n.07 matter.n.03, all matter.n.03 entity.n.01: some substance.n.07 entity.n.01; no substance.n.07 entity.n.01
all nazi.n.01 conservative.n.01, all conservative.n.01 entity.n.01: some nazi.n.01 entity.n.01; no nazi.n.01 entity.n.01
all butter.n.01 matter.n.03, all matter.n.03 physical_entity.n.01: some butter.n.01 physical_entity.n.01; no butter.n.01 physical_entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all liquid.n.01 fluid.n.01, all fluid.n.01 entity.n.01: some liquid.n.01 entity.n.01; no liquid.n.01 entity.n.01
all instrumentality.n.03 artifact.n.01, all artifact.n.01 whole.n.02: some instrumentality.n.03 whole.n.02; no instrumentality.n.03 whole.n.02
all case.n.06 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some case.n.06 entity.n.01; no case.n.06 entity.n.01
all lord.n.03 male_aristocrat.n.01, all male_aristocrat.n.01 physical_entity.n.01: some lord.n.03 physical_entity.n.01; no lord.n.03 physical_entity.n.01
all algonquian.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some algonquian.n.01 entity.n.01; no algonquian.n.01 entity.n.01
all artifact.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some artifact.n.01 entity.n.01; no artifact.n.01 entity.n.01
all antihypertensive.n.01 medicine.n.02, all medicine.n.02 agent.n.03: some antihypertensive.n.01 agent.n.03; no antihypertensive.n.01 agent.n.03
all artifact.n.01 object.n.01, all object.n.01 entity.n.01: some artifact.n.01 entity.n.01; no artifact.n.01 entity.n.01
all land.n.04 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some land.n.04 entity.n.01; no land.n.04 entity.n.01
all communication.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: some communication.n.02 entity.n.01; no communication.n.02 entity.n.01
all hand_tool.n.01 tool.n.01, all tool.n.01 entity.n.01: some hand_tool.n.01 entity.n.01; no hand_tool.n.01 entity.n.01
all act.n.02 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: some act.n.02 entity.n.01; no act.n.02 entity.n.01
all mayor.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some mayor.n.01 entity.n.01; no mayor.n.01 entity.n.01
all dancing.n.01 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: some dancing.n.01 abstraction.n.06; no dancing.n.01 abstraction.n.06
all exhibitionist.n.01 person.n.01, all person.n.01 physical_entity.n.01: some exhibitionist.n.01 physical_entity.n.01; no exhibitionist.n.01 physical_entity.n.01
all hostility.n.03 feeling.n.01, all feeling.n.01 attribute.n.02: some hostility.n.03 attribute.n.02; no hostility.n.03 attribute.n.02
all american.n.01 inhabitant.n.01, all inhabitant.n.01 person.n.01: some american.n.01 person.n.01; no american.n.01 person.n.01
all whole.n.02 object.n.01, all object.n.01 physical_entity.n.01: some whole.n.02 physical_entity.n.01; no whole.n.02 physical_entity.n.01
all disease.n.01 state.n.02, all state.n.02 entity.n.01: some disease.n.01 entity.n.01; no disease.n.01 entity.n.01
all artifact.n.01 object.n.01, all object.n.01 entity.n.01: some artifact.n.01 entity.n.01; no artifact.n.01 entity.n.01
all nausea.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some nausea.n.01 entity.n.01; no nausea.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all continuance.n.01 act.n.02, all act.n.02 event.n.01: some continuance.n.01 event.n.01; no continuance.n.01 event.n.01
all friend.n.01 person.n.01, all person.n.01 physical_entity.n.01: some friend.n.01 physical_entity.n.01; no friend.n.01 physical_entity.n.01
all legal_document.n.01 document.n.01, all document.n.01 abstraction.n.06: some legal_document.n.01 abstraction.n.06; no legal_document.n.01 abstraction.n.06
all musician.n.02 person.n.01, all person.n.01 physical_entity.n.01: some musician.n.02 physical_entity.n.01; no musician.n.02 physical_entity.n.01
all notch.n.03 shape.n.02, all shape.n.02 attribute.n.02: some notch.n.03 attribute.n.02; no notch.n.03 attribute.n.02
all control.n.05 activity.n.01, all activity.n.01 entity.n.01: some control.n.05 entity.n.01; no control.n.05 entity.n.01
all anticoagulant.n.01 agent.n.03, all agent.n.03 entity.n.01: some anticoagulant.n.01 entity.n.01; no anticoagulant.n.01 entity.n.01
all lye.n.01 caustic.n.01, all caustic.n.01 chemical.n.01: some lye.n.01 chemical.n.01; no lye.n.01 chemical.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all set.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: some set.n.02 entity.n.01; no set.n.02 entity.n.01
all page.n.01 sheet.n.02, all sheet.n.02 entity.n.01: some page.n.01 entity.n.01; no page.n.01 entity.n.01
all natural_object.n.01 object.n.01, all object.n.01 entity.n.01: some natural_object.n.01 entity.n.01; no natural_object.n.01 entity.n.01
all plant.n.02 object.n.01, all object.n.01 physical_entity.n.01: some plant.n.02 physical_entity.n.01; no plant.n.02 physical_entity.n.01
all chemical.n.01 substance.n.01, all substance.n.01 entity.n.01: some chemical.n.01 entity.n.01; no chemical.n.01 entity.n.01
all vertebrate.n.01 chordate.n.01, all chordate.n.01 entity.n.01: some vertebrate.n.01 entity.n.01; no vertebrate.n.01 entity.n.01
all elementary_particle.n.01 whole.n.02, all whole.n.02 object.n.01: some elementary_particle.n.01 object.n.01; no elementary_particle.n.01 object.n.01
all traitor.n.01 principal.n.05, all principal.n.05 wrongdoer.n.01: some traitor.n.01 wrongdoer.n.01; no traitor.n.01 wrongdoer.n.01
all preservation.n.03 organic_process.n.01, all organic_process.n.01 entity.n.01: some preservation.n.03 entity.n.01; no preservation.n.03 entity.n.01
all englishman.n.01 britisher.n.01, all britisher.n.01 inhabitant.n.01: some englishman.n.01 inhabitant.n.01; no englishman.n.01 inhabitant.n.01
all assets.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some assets.n.01 entity.n.01; no assets.n.01 entity.n.01
all evidence.n.01 information.n.02, all information.n.02 cognition.n.01: some evidence.n.01 cognition.n.01; no evidence.n.01 cognition.n.01
all motion.n.06 event.n.01, all event.n.01 psychological_feature.n.01: some motion.n.06 psychological_feature.n.01; no motion.n.06 psychological_feature.n.01
all sense.n.03 cognition.n.01, all cognition.n.01 abstraction.n.06: some sense.n.03 abstraction.n.06; no sense.n.03 abstraction.n.06
all shop.n.01 mercantile_establishment.n.01, all mercantile_establishment.n.01 physical_entity.n.01: some shop.n.01 physical_entity.n.01; no shop.n.01 physical_entity.n.01
all diversion.n.01 activity.n.01, all activity.n.01 psychological_feature.n.01: some diversion.n.01 psychological_feature.n.01; no diversion.n.01 psychological_feature.n.01
all contact_sport.n.01 sport.n.01, all sport.n.01 entity.n.01: some contact_sport.n.01 entity.n.01; no contact_sport.n.01 entity.n.01
all dog.n.01 whole.n.02, all whole.n.02 entity.n.01: some dog.n.01 entity.n.01; no dog.n.01 entity.n.01
all science.n.01 content.n.05, all content.n.05 abstraction.n.06: some science.n.01 abstraction.n.06; no science.n.01 abstraction.n.06
all language_unit.n.01 relation.n.01, all relation.n.01 abstraction.n.06: some language_unit.n.01 abstraction.n.06; no language_unit.n.01 abstraction.n.06
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all whole.n.02 object.n.01, all object.n.01 physical_entity.n.01: some whole.n.02 physical_entity.n.01; no whole.n.02 physical_entity.n.01
all enthusiasm.n.01 state.n.02, all state.n.02 attribute.n.02: some enthusiasm.n.01 attribute.n.02; no enthusiasm.n.01 attribute.n.02
all loss.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some loss.n.01 entity.n.01; no loss.n.01 entity.n.01
all artifact.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: some artifact.n.01 physical_entity.n.01; no artifact.n.01 physical_entity.n.01
all worker.n.01 person.n.01, all person.n.01 physical_entity.n.01: some worker.n.01 physical_entity.n.01; no worker.n.01 physical_entity.n.01
all structure.n.01 object.n.01, all object.n.01 physical_entity.n.01: some structure.n.01 physical_entity.n.01; no structure.n.01 physical_entity.n.01
all maltreatment.n.01 mistreatment.n.01, all mistreatment.n.01 psychological_feature.n.01: some maltreatment.n.01 psychological_feature.n.01; no maltreatment.n.01 psychological_feature.n.01
all migrant.n.01 traveler.n.01, all traveler.n.01 person.n.01: some migrant.n.01 person.n.01; no migrant.n.01 person.n.01
all doctor.n.01 medical_practitioner.n.01, all medical_practitioner.n.01 person.n.01: some doctor.n.01 person.n.01; no doctor.n.01 person.n.01
all lady.n.01 woman.n.01, all woman.n.01 physical_entity.n.01: some lady.n.01 physical_entity.n.01; no lady.n.01 physical_entity.n.01
all paper.n.01 material.n.01, all material.n.01 entity.n.01: some paper.n.01 entity.n.01; no paper.n.01 entity.n.01
all sovereign.n.01 person.n.01, all person.n.01 physical_entity.n.01: some sovereign.n.01 physical_entity.n.01; no sovereign.n.01 physical_entity.n.01
all component.n.03 part.n.02, all part.n.02 entity.n.01: some component.n.03 entity.n.01; no component.n.03 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all depression.n.04 sadness.n.01, all sadness.n.01 state.n.02: some depression.n.04 state.n.02; no depression.n.04 state.n.02
all compound.n.02 material.n.01, all material.n.01 entity.n.01: some compound.n.02 entity.n.01; no compound.n.02 entity.n.01
all victimize.v.01 interact.v.01, all interact.v.01 act.v.01: some victimize.v.01 act.v.01; no victimize.v.01 act.v.01
all implement.n.01 whole.n.02, all whole.n.02 entity.n.01: some implement.n.01 entity.n.01; no implement.n.01 entity.n.01
all location.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some location.n.01 entity.n.01; no location.n.01 entity.n.01
all solution.n.01 mixture.n.01, all mixture.n.01 entity.n.01: some solution.n.01 entity.n.01; no solution.n.01 entity.n.01
all tract.n.01 location.n.01, all location.n.01 entity.n.01: some tract.n.01 entity.n.01; no tract.n.01 entity.n.01
all property.n.01 relation.n.01, all relation.n.01 abstraction.n.06: some property.n.01 abstraction.n.06; no property.n.01 abstraction.n.06
all polysaccharide.n.01 macromolecule.n.01, all macromolecule.n.01 entity.n.01: some polysaccharide.n.01 entity.n.01; no polysaccharide.n.01 entity.n.01
all statement.n.01 message.n.02, all message.n.02 entity.n.01: some statement.n.01 entity.n.01; no statement.n.01 entity.n.01
all prize.n.01 transferred_property.n.01, all transferred_property.n.01 possession.n.02: some prize.n.01 possession.n.02; no prize.n.01 possession.n.02
all ambiguity.n.02 unclearness.n.01, all unclearness.n.01 attribute.n.02: some ambiguity.n.02 attribute.n.02; no ambiguity.n.02 attribute.n.02
all writing_implement.n.01 implement.n.01, all implement.n.01 instrumentality.n.03: some writing_implement.n.01 instrumentality.n.03; no writing_implement.n.01 instrumentality.n.03
all caretaker.n.01 defender.n.01, all defender.n.01 preserver.n.03: some caretaker.n.01 preserver.n.03; no caretaker.n.01 preserver.n.03
all compound.n.02 material.n.01, all material.n.01 substance.n.01: some compound.n.02 substance.n.01; no compound.n.02 substance.n.01
all communicator.n.01 person.n.01, all person.n.01 physical_entity.n.01: some communicator.n.01 physical_entity.n.01; no communicator.n.01 physical_entity.n.01
all phenomenon.n.01 process.n.06, all process.n.06 physical_entity.n.01: some phenomenon.n.01 physical_entity.n.01; no phenomenon.n.01 physical_entity.n.01
all monoamine.n.01 methane_series.n.01, all methane_series.n.01 compound.n.02: some monoamine.n.01 compound.n.02; no monoamine.n.01 compound.n.02
all social_group.n.01 group.n.01, all group.n.01 entity.n.01: some social_group.n.01 entity.n.01; no social_group.n.01 entity.n.01
all flavorer.n.01 food.n.01, all food.n.01 matter.n.03: some flavorer.n.01 matter.n.03; no flavorer.n.01 matter.n.03
all signal.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some signal.n.01 entity.n.01; no signal.n.01 entity.n.01
all geological_formation.n.01 object.n.01, all object.n.01 physical_entity.n.01: some geological_formation.n.01 physical_entity.n.01; no geological_formation.n.01 physical_entity.n.01
all performer.n.01 entertainer.n.01, all entertainer.n.01 entity.n.01: some performer.n.01 entity.n.01; no performer.n.01 entity.n.01
all security.n.04 legal_document.n.01, all legal_document.n.01 communication.n.02: some security.n.04 communication.n.02; no security.n.04 communication.n.02
all rate.n.01 magnitude_relation.n.01, all magnitude_relation.n.01 abstraction.n.06: some rate.n.01 abstraction.n.06; no rate.n.01 abstraction.n.06
all pope.n.01 person.n.01, all person.n.01 physical_entity.n.01: some pope.n.01 physical_entity.n.01; no pope.n.01 physical_entity.n.01
all creator.n.02 person.n.01, all person.n.01 entity.n.01: some creator.n.02 entity.n.01; no creator.n.02 entity.n.01
all hormone.n.01 substance.n.01, all substance.n.01 entity.n.01: some hormone.n.01 entity.n.01; no hormone.n.01 entity.n.01
all activity.n.01 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: some activity.n.01 abstraction.n.06; no activity.n.01 abstraction.n.06
all implement.n.01 instrumentality.n.03, all instrumentality.n.03 physical_entity.n.01: some implement.n.01 physical_entity.n.01; no implement.n.01 physical_entity.n.01
all visual_communication.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some visual_communication.n.01 entity.n.01; no visual_communication.n.01 entity.n.01
all activity.n.01 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: some activity.n.01 abstraction.n.06; no activity.n.01 abstraction.n.06
all filler.n.01 sealing_material.n.01, all sealing_material.n.01 material.n.01: some filler.n.01 material.n.01; no filler.n.01 material.n.01
all propagandist.n.01 person.n.01, all person.n.01 entity.n.01: some propagandist.n.01 entity.n.01; no propagandist.n.01 entity.n.01
all pill.n.01 object.n.01, all object.n.01 physical_entity.n.01: some pill.n.01 physical_entity.n.01; no pill.n.01 physical_entity.n.01
all act.n.02 event.n.01, all event.n.01 entity.n.01: some act.n.02 entity.n.01; no act.n.02 entity.n.01
all leader.n.01 person.n.01, all person.n.01 entity.n.01: some leader.n.01 entity.n.01; no leader.n.01 entity.n.01
all contestant.n.01 person.n.01, all person.n.01 entity.n.01: some contestant.n.01 entity.n.01; no contestant.n.01 entity.n.01
all construction.n.02 string_of_words.n.01, all string_of_words.n.01 abstraction.n.06: some construction.n.02 abstraction.n.06; no construction.n.02 abstraction.n.06
all solid.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some solid.n.01 entity.n.01; no solid.n.01 entity.n.01
all prosody.n.01 manner_of_speaking.n.01, all manner_of_speaking.n.01 expressive_style.n.01: some prosody.n.01 expressive_style.n.01; no prosody.n.01 expressive_style.n.01
all substance.n.07 matter.n.03, all matter.n.03 entity.n.01: some substance.n.07 entity.n.01; no substance.n.07 entity.n.01
all facility.n.01 whole.n.02, all whole.n.02 object.n.01: some facility.n.01 object.n.01; no facility.n.01 object.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all berry.n.01 edible_fruit.n.01, all edible_fruit.n.01 entity.n.01: some berry.n.01 entity.n.01; no berry.n.01 entity.n.01
all jazz.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: some jazz.n.02 entity.n.01; no jazz.n.02 entity.n.01
all location.n.01 object.n.01, all object.n.01 entity.n.01: some location.n.01 entity.n.01; no location.n.01 entity.n.01
all act.n.02 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: some act.n.02 abstraction.n.06; no act.n.02 abstraction.n.06
all practice.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some practice.n.01 entity.n.01; no practice.n.01 entity.n.01
all request.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: some request.n.02 entity.n.01; no request.n.02 entity.n.01
all whole.n.02 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some whole.n.02 entity.n.01; no whole.n.02 entity.n.01
all tissue.n.01 body_part.n.01, all body_part.n.01 thing.n.12: some tissue.n.01 thing.n.12; no tissue.n.01 thing.n.12
all physical_condition.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some physical_condition.n.01 entity.n.01; no physical_condition.n.01 entity.n.01
all worker.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some worker.n.01 entity.n.01; no worker.n.01 entity.n.01
all draw.v.06 re-create.v.01, all re-create.v.01 make.v.03: some draw.v.06 make.v.03; no draw.v.06 make.v.03
all religious.n.01 religious_person.n.01, all religious_person.n.01 person.n.01: some religious.n.01 person.n.01; no religious.n.01 person.n.01
all bovine.n.01 even-toed_ungulate.n.01, all even-toed_ungulate.n.01 mammal.n.01: some bovine.n.01 mammal.n.01; no bovine.n.01 mammal.n.01
all sheet.n.06 artifact.n.01, all artifact.n.01 entity.n.01: some sheet.n.06 entity.n.01; no sheet.n.06 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all effect.v.01 cause.v.01, all cause.v.01 make.v.03: some effect.v.01 make.v.03; no effect.v.01 make.v.03
all amerindian.n.01 person.n.01, all person.n.01 entity.n.01: some amerindian.n.01 entity.n.01; no amerindian.n.01 entity.n.01
all legal_document.n.01 writing.n.02, all writing.n.02 abstraction.n.06: some legal_document.n.01 abstraction.n.06; no legal_document.n.01 abstraction.n.06
all calamity.n.01 trouble.n.03, all trouble.n.03 happening.n.01: some calamity.n.01 happening.n.01; no calamity.n.01 happening.n.01
all drummer.n.01 percussionist.n.01, all percussionist.n.01 entity.n.01: some drummer.n.01 entity.n.01; no drummer.n.01 entity.n.01
all material.n.01 substance.n.01, all substance.n.01 entity.n.01: some material.n.01 entity.n.01; no material.n.01 entity.n.01
all dry.n.01 disputant.n.01, all disputant.n.01 entity.n.01: some dry.n.01 entity.n.01; no dry.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all assistant.n.01 worker.n.01, all worker.n.01 person.n.01: some assistant.n.01 person.n.01; no assistant.n.01 person.n.01
all paint.v.01 create.v.03, all create.v.03 act.v.01: some paint.v.01 act.v.01; no paint.v.01 act.v.01
all worker.n.01 person.n.01, all person.n.01 physical_entity.n.01: some worker.n.01 physical_entity.n.01; no worker.n.01 physical_entity.n.01
all feminist.n.01 person.n.01, all person.n.01 physical_entity.n.01: some feminist.n.01 physical_entity.n.01; no feminist.n.01 physical_entity.n.01
all skilled_worker.n.01 worker.n.01, all worker.n.01 entity.n.01: some skilled_worker.n.01 entity.n.01; no skilled_worker.n.01 entity.n.01
all housing.n.01 whole.n.02, all whole.n.02 object.n.01: some housing.n.01 object.n.01; no housing.n.01 object.n.01
all maker.n.01 person.n.01, all person.n.01 physical_entity.n.01: some maker.n.01 physical_entity.n.01; no maker.n.01 physical_entity.n.01
all christian.n.01 religious_person.n.01, all religious_person.n.01 entity.n.01: some christian.n.01 entity.n.01; no christian.n.01 entity.n.01
all substance.n.07 matter.n.03, all matter.n.03 physical_entity.n.01: some substance.n.07 physical_entity.n.01; no substance.n.07 physical_entity.n.01
all thing.n.12 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some thing.n.12 entity.n.01; no thing.n.12 entity.n.01
all actor.n.01 entertainer.n.01, all entertainer.n.01 person.n.01: some actor.n.01 person.n.01; no actor.n.01 person.n.01
all socialism.n.02 managed_economy.n.01, all managed_economy.n.01 group.n.01: some socialism.n.02 group.n.01; no socialism.n.02 group.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all landmass.n.01 land.n.04, all land.n.04 physical_entity.n.01: some landmass.n.01 physical_entity.n.01; no landmass.n.01 physical_entity.n.01
all volcano.n.02 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some volcano.n.02 entity.n.01; no volcano.n.02 entity.n.01
all wheel.n.01 mechanical_device.n.01, all mechanical_device.n.01 entity.n.01: some wheel.n.01 entity.n.01; no wheel.n.01 entity.n.01
all structure.n.01 artifact.n.01, all artifact.n.01 object.n.01: some structure.n.01 object.n.01; no structure.n.01 object.n.01
all good.n.02 quality.n.01, all quality.n.01 abstraction.n.06: some good.n.02 abstraction.n.06; no good.n.02 abstraction.n.06
all son.n.02 god.n.01, all god.n.01 psychological_feature.n.01: some son.n.02 psychological_feature.n.01; no son.n.02 psychological_feature.n.01
all vaudevillian.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some vaudevillian.n.01 entity.n.01; no vaudevillian.n.01 entity.n.01
all dictator.n.02 ruler.n.01, all ruler.n.01 physical_entity.n.01: some dictator.n.02 physical_entity.n.01; no dictator.n.02 physical_entity.n.01
all creation.n.02 artifact.n.01, all artifact.n.01 physical_entity.n.01: some creation.n.02 physical_entity.n.01; no creation.n.02 physical_entity.n.01
all employee.n.01 person.n.01, all person.n.01 entity.n.01: some employee.n.01 entity.n.01; no employee.n.01 entity.n.01
all neurotransmitter.n.01 chemical.n.01, all chemical.n.01 entity.n.01: some neurotransmitter.n.01 entity.n.01; no neurotransmitter.n.01 entity.n.01
all inhabitant.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some inhabitant.n.01 entity.n.01; no inhabitant.n.01 entity.n.01
all potion.n.01 beverage.n.01, all beverage.n.01 entity.n.01: some potion.n.01 entity.n.01; no potion.n.01 entity.n.01
all officer.n.04 mariner.n.01, all mariner.n.01 entity.n.01: some officer.n.04 entity.n.01; no officer.n.04 entity.n.01
all document.n.01 writing.n.02, all writing.n.02 entity.n.01: some document.n.01 entity.n.01; no document.n.01 entity.n.01
all refusal.n.02 message.n.02, all message.n.02 communication.n.02: some refusal.n.02 communication.n.02; no refusal.n.02 communication.n.02
all geographic_point.n.01 point.n.02, all point.n.02 object.n.01: some geographic_point.n.01 object.n.01; no geographic_point.n.01 object.n.01
all artifact.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: some artifact.n.01 physical_entity.n.01; no artifact.n.01 physical_entity.n.01
all publisher.n.03 owner.n.01, all owner.n.01 person.n.01: some publisher.n.03 person.n.01; no publisher.n.03 person.n.01
all artifact.n.01 whole.n.02, all whole.n.02 object.n.01: some artifact.n.01 object.n.01; no artifact.n.01 object.n.01
all adventurer.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some adventurer.n.01 entity.n.01; no adventurer.n.01 entity.n.01
all topographic_point.n.01 location.n.01, all location.n.01 object.n.01: some topographic_point.n.01 object.n.01; no topographic_point.n.01 object.n.01
all saying.n.01 speech.n.02, all speech.n.02 auditory_communication.n.01: some saying.n.01 auditory_communication.n.01; no saying.n.01 auditory_communication.n.01
all illness.n.01 ill_health.n.01, all ill_health.n.01 abstraction.n.06: some illness.n.01 abstraction.n.06; no illness.n.01 abstraction.n.06
all organization.n.01 group.n.01, all group.n.01 abstraction.n.06: some organization.n.01 abstraction.n.06; no organization.n.01 abstraction.n.06
all bill.n.07 communication.n.02, all communication.n.02 entity.n.01: some bill.n.07 entity.n.01; no bill.n.07 entity.n.01
all artifact.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: some artifact.n.01 physical_entity.n.01; no artifact.n.01 physical_entity.n.01
all nationalist.n.02 person.n.01, all person.n.01 physical_entity.n.01: some nationalist.n.02 physical_entity.n.01; no nationalist.n.02 physical_entity.n.01
all living_thing.n.01 object.n.01, all object.n.01 entity.n.01: some living_thing.n.01 entity.n.01; no living_thing.n.01 entity.n.01
all establishment.n.04 whole.n.02, all whole.n.02 entity.n.01: some establishment.n.04 entity.n.01; no establishment.n.04 entity.n.01
all general_officer.n.01 commissioned_officer.n.01, all commissioned_officer.n.01 military_officer.n.01: some general_officer.n.01 military_officer.n.01; no general_officer.n.01 military_officer.n.01
all establishment.n.04 structure.n.01, all structure.n.01 entity.n.01: some establishment.n.04 entity.n.01; no establishment.n.04 entity.n.01
all killer.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some killer.n.01 entity.n.01; no killer.n.01 entity.n.01
all disorder.n.01 condition.n.01, all condition.n.01 entity.n.01: some disorder.n.01 entity.n.01; no disorder.n.01 entity.n.01
all phenomenon.n.01 process.n.06, all process.n.06 physical_entity.n.01: some phenomenon.n.01 physical_entity.n.01; no phenomenon.n.01 physical_entity.n.01
all act.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: some act.n.02 entity.n.01; no act.n.02 entity.n.01
all wrongdoer.n.01 person.n.01, all person.n.01 physical_entity.n.01: some wrongdoer.n.01 physical_entity.n.01; no wrongdoer.n.01 physical_entity.n.01
all nonaccomplishment.n.01 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: some nonaccomplishment.n.01 abstraction.n.06; no nonaccomplishment.n.01 abstraction.n.06
all matter.n.03 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some matter.n.03 entity.n.01; no matter.n.03 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all spiritual_being.n.01 belief.n.01, all belief.n.01 entity.n.01: some spiritual_being.n.01 entity.n.01; no spiritual_being.n.01 entity.n.01
all brace.n.09 object.n.01, all object.n.01 physical_entity.n.01: some brace.n.09 physical_entity.n.01; no brace.n.09 physical_entity.n.01
all measurement.n.01 event.n.01, all event.n.01 entity.n.01: some measurement.n.01 entity.n.01; no measurement.n.01 entity.n.01
all roller.n.04 solid.n.03, all solid.n.03 entity.n.01: some roller.n.04 entity.n.01; no roller.n.04 entity.n.01
all event.n.01 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: some event.n.01 abstraction.n.06; no event.n.01 abstraction.n.06
all keeper.n.01 defender.n.01, all defender.n.01 entity.n.01: some keeper.n.01 entity.n.01; no keeper.n.01 entity.n.01
all wilding.n.01 living_thing.n.01, all living_thing.n.01 entity.n.01: some wilding.n.01 entity.n.01; no wilding.n.01 entity.n.01
all discipline.n.03 trait.n.01, all trait.n.01 abstraction.n.06: some discipline.n.03 abstraction.n.06; no discipline.n.03 abstraction.n.06
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all genus.n.02 group.n.01, all group.n.01 entity.n.01: some genus.n.02 entity.n.01; no genus.n.02 entity.n.01
all businessperson.n.01 capitalist.n.02, all capitalist.n.02 entity.n.01: some businessperson.n.01 entity.n.01; no businessperson.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all tank.n.02 object.n.01, all object.n.01 physical_entity.n.01: some tank.n.02 physical_entity.n.01; no tank.n.02 physical_entity.n.01
all dishonesty.n.02 act.n.02, all act.n.02 abstraction.n.06: some dishonesty.n.02 abstraction.n.06; no dishonesty.n.02 abstraction.n.06
all complete.v.01 end.v.02, all end.v.02 change.v.01: some complete.v.01 change.v.01; no complete.v.01 change.v.01
all condition.n.01 attribute.n.02, all attribute.n.02 entity.n.01: some condition.n.01 entity.n.01; no condition.n.01 entity.n.01
all fluid.n.02 matter.n.03, all matter.n.03 entity.n.01: some fluid.n.02 entity.n.01; no fluid.n.02 entity.n.01
all annoyance.n.02 emotion.n.01, all emotion.n.01 feeling.n.01: some annoyance.n.02 feeling.n.01; no annoyance.n.02 feeling.n.01
