all disgust.n.01 part.n.02, some-not disgust.n.01 dislike.n.02: some-not part.n.02 dislike.n.02; all part.n.02 dislike.n.02
all torture.n.05 liquid.n.01, some-not torture.n.05 persecution.n.01: some-not liquid.n.01 persecution.n.01; all liquid.n.01 persecution.n.01
all measurement.n.01 equipment.n.01, some-not measurement.n.01 activity.n.01: some-not equipment.n.01 activity.n.01; all equipment.n.01 activity.n.01
all creator.n.02 reproductive_organ.n.01, some-not creator.n.02 person.n.01: some-not reproductive_organ.n.01 person.n.01; all reproductive_organ.n.01 person.n.01
all spread.n.07 physical_condition.n.01, some-not spread.n.07 page.n.01: some-not physical_condition.n.01 page.n.01; all physical_condition.n.01 page.n.01
all modality.n.03 property.n.02, some-not modality.n.03 sense.n.03: some-not property.n.02 sense.n.03; all property.n.02 sense.n.03
all evangelist.n.02 entity.n.01, some-not evangelist.n.02 spiritual_leader.n.01: some-not entity.n.01 spiritual_leader.n.01; all entity.n.01 spiritual_leader.n.01
all physicist.n.01 inhibitor.n.01, some-not physicist.n.01 scientist.n.01: some-not inhibitor.n.01 scientist.n.01; all inhibitor.n.01 scientist.n.01
all beryl.n.01 representational_process.n.01, some-not beryl.n.01 mineral.n.01: some-not representational_process.n.01 mineral.n.01; all representational_process.n.01 mineral.n.01
all instrumentality.n.03 entity.n.01, some-not instrumentality.n.03 artifact.n.01: some-not entity.n.01 artifact.n.01; all entity.n.01 artifact.n.01
all writing.n.02 christian.n.01, some-not writing.n.02 written_communication.n.01: some-not christian.n.01 written_communication.n.01; all christian.n.01 written_communication.n.01
all sweater.n.01 socialist.n.01, some-not sweater.n.01 garment.n.01: some-not socialist.n.01 garment.n.01; all socialist.n.01 garment.n.01
all righteousness.n.01 entity.n.01, some-not righteousness.n.01 morality.n.01: some-not entity.n.01 morality.n.01; all entity.n.01 morality.n.01
all music.n.03 object.n.01, some-not music.n.03 activity.n.01: some-not object.n.01 activity.n.01; all object.n.01 activity.n.01
all slave.n.01 physical_entity.n.01, some-not slave.n.01 person.n.01: some-not physical_entity.n.01 person.n.01; all physical_entity.n.01 person.n.01
all physiologist.n.01 comedienne.n.02, some-not physiologist.n.01 biologist.n.01: some-not comedienne.n.02 biologist.n.01; all comedienne.n.02 biologist.n.01
all viscountess.n.02 social_group.n.01, some-not viscountess.n.02 peer.n.02: some-not social_group.n.01 peer.n.02; all social_group.n.01 peer.n.02
all colony.n.01 device.n.01, some-not colony.n.01 body.n.02: some-not device.n.01 body.n.02; all device.n.01 body.n.02
all anesthetic.n.01 metallurgist.n.01, some-not anesthetic.n.01 drug.n.01: some-not metallurgist.n.01 drug.n.01; all metallurgist.n.01 drug.n.01
all dealer.n.03 entity.n.01, some-not dealer.n.03 seller.n.01: some-not entity.n.01 seller.n.01; all entity.n.01 seller.n.01
all sing.v.02 event.n.01, some-not sing.v.02 talk.v.02: some-not event.n.01 talk.v.02; all event.n.01 talk.v.02
all apostle.n.03 margarine.n.01, some-not apostle.n.03 person.n.01: some-not margarine.n.01 person.n.01; all margarine.n.01 person.n.01
all group.n.01 entity.n.01, some-not group.n.01 abstraction.n.06: some-not entity.n.01 abstraction.n.06; all entity.n.01 abstraction.n.06
all storm.n.01 creator.n.02, some-not storm.n.01 atmospheric_phenomenon.n.01: some-not creator.n.02 atmospheric_phenomenon.n.01; all creator.n.02 atmospheric_phenomenon.n.01
all artifact.n.01 communist.n.02, some-not artifact.n.01 whole.n.02: some-not communist.n.02 whole.n.02; all communist.n.02 whole.n.02
all pigment.n.01 entity.n.01, some-not pigment.n.01 coloring_material.n.01: some-not entity.n.01 coloring_material.n.01; all entity.n.01 coloring_material.n.01
all confectioner.n.01 material.n.01, some-not confectioner.n.01 maker.n.01: some-not material.n.01 maker.n.01; all material.n.01 maker.n.01
all organic.n.01 vector.n.03, some-not organic.n.01 fertilizer.n.01: some-not vector.n.03 fertilizer.n.01; all vector.n.03 fertilizer.n.01
all malignancy.n.01 science.n.01, some-not malignancy.n.01 disease.n.01: some-not science.n.01 disease.n.01; all science.n.01 disease.n.01
all mathematician.n.01 entity.n.01, some-not mathematician.n.01 scientist.n.01: some-not entity.n.01 scientist.n.01; all entity.n.01 scientist.n.01
all soil.n.02 entity.n.01, some-not soil.n.02 earth.n.02: some-not entity.n.01 earth.n.02; all entity.n.01 earth.n.02
all mutilation.n.01 physical_entity.n.01, some-not mutilation.n.01 injury.n.02: some-not physical_entity.n.01 injury.n.02; all physical_entity.n.01 injury.n.02
all art.n.02 biologist.n.01, some-not art.n.02 creation.n.01: some-not biologist.n.01 creation.n.01; all biologist.n.01 creation.n.01
all serviceman.n.01 belief.n.01, some-not serviceman.n.01 skilled_worker.n.01: some-not belief.n.01 skilled_worker.n.01; all belief.n.01 skilled_worker.n.01
all pigment.n.01 communicator.n.01, some-not pigment.n.01 coloring_material.n.01: some-not communicator.n.01 coloring_material.n.01; all communicator.n.01 coloring_material.n.01
all news.n.02 abstraction.n.06, some-not news.n.02 information.n.01: some-not abstraction.n.06 information.n.01; all abstraction.n.06 information.n.01
all black.n.05 electronic_equipment.n.01, some-not black.n.05 person.n.01: some-not electronic_equipment.n.01 person.n.01; all electronic_equipment.n.01 person.n.01
all priest.n.01 preserver.n.03, some-not priest.n.01 entity.n.01: some-not preserver.n.03 entity.n.01; all preserver.n.03 entity.n.01
all performance.n.02 apparatus.n.01, some-not performance.n.02 presentation.n.02: some-not apparatus.n.01 presentation.n.02; all apparatus.n.01 presentation.n.02
all composer.n.01 pilot.n.01, some-not composer.n.01 artist.n.01: some-not pilot.n.01 artist.n.01; all pilot.n.01 artist.n.01
all cooperation.n.01 organism.n.01, some-not cooperation.n.01 group_action.n.01: some-not organism.n.01 group_action.n.01; all organism.n.01 group_action.n.01
all performance.n.02 physical_entity.n.01, some-not performance.n.02 presentation.n.02: some-not physical_entity.n.01 presentation.n.02; all physical_entity.n.01 presentation.n.02
all stadium.n.01 entity.n.01, some-not stadium.n.01 structure.n.01: some-not entity.n.01 structure.n.01; all entity.n.01 structure.n.01
all lawyer.n.01 failure.n.01, some-not lawyer.n.01 professional.n.01: some-not failure.n.01 professional.n.01; all failure.n.01 professional.n.01
all loop.n.02 demonstration.n.05, some-not loop.n.02 simple_closed_curve.n.01: some-not demonstration.n.05 simple_closed_curve.n.01; all demonstration.n.05 simple_closed_curve.n.01
all ending.n.04 science.n.01, some-not ending.n.04 happening.n.01: some-not science.n.01 happening.n.01; all science.n.01 happening.n.01
all colony.n.01 instrument.n.01, some-not colony.n.01 body.n.02: some-not instrument.n.01 body.n.02; all instrument.n.01 body.n.02
all growth.n.06 explorer.n.01, some-not growth.n.06 illness.n.01: some-not explorer.n.01 illness.n.01; all explorer.n.01 illness.n.01
all nigerian.n.01 drug.n.01, some-not nigerian.n.01 african.n.01: some-not drug.n.01 african.n.01; all drug.n.01 african.n.01
all notch.n.03 composer.n.01, some-not notch.n.03 indentation.n.01: some-not composer.n.01 indentation.n.01; all composer.n.01 indentation.n.01
all agreement.n.01 entity.n.01, some-not agreement.n.01 statement.n.01: some-not entity.n.01 statement.n.01; all entity.n.01 statement.n.01
all woman.n.01 produce.n.01, some-not woman.n.01 person.n.01: some-not produce.n.01 person.n.01; all produce.n.01 person.n.01
all saboteur.n.01 entity.n.01, some-not saboteur.n.01 destroyer.n.02: some-not entity.n.01 destroyer.n.02; all entity.n.01 destroyer.n.02
all nude.n.03 entity.n.01, some-not nude.n.03 person.n.01: some-not entity.n.01 person.n.01; all entity.n.01 person.n.01
all mathematician.n.01 person.n.01, some-not mathematician.n.01 scientist.n.01: some-not person.n.01 scientist.n.01; all person.n.01 scientist.n.01
all isle.n.01 entity.n.01, some-not isle.n.01 island.n.01: some-not entity.n.01 island.n.01; all entity.n.01 island.n.01
all saying.n.01 paper.n.01, some-not saying.n.01 speech.n.02: some-not paper.n.01 speech.n.02; all paper.n.01 speech.n.02
all ester.n.01 entity.n.01, some-not ester.n.01 organic_compound.n.01: some-not entity.n.01 organic_compound.n.01; all entity.n.01 organic_compound.n.01
all medicine.n.02 communicator.n.01, some-not medicine.n.02 drug.n.01: some-not communicator.n.01 drug.n.01; all communicator.n.01 drug.n.01
all text.n.01 era.n.01, some-not text.n.01 matter.n.06: some-not era.n.01 matter.n.06; all era.n.01 matter.n.06
all halogen.n.01 series.n.01, some-not halogen.n.01 group.n.01: some-not series.n.01 group.n.01; all series.n.01 group.n.01
all pollutant.n.01 system.n.02, some-not pollutant.n.01 waste.n.01: some-not system.n.02 waste.n.01; all system.n.02 waste.n.01
all nonfiction.n.01 product.n.02, some-not nonfiction.n.01 prose.n.01: some-not product.n.02 prose.n.01; all product.n.02 prose.n.01
all process.n.05 entertainer.n.01, some-not process.n.05 body_part.n.01: some-not entertainer.n.01 body_part.n.01; all entertainer.n.01 body_part.n.01
all entrepreneur.n.01 person.n.01, some-not entrepreneur.n.01 businessperson.n.01: some-not person.n.01 businessperson.n.01; all person.n.01 businessperson.n.01
all area.n.01 physical_entity.n.01, some-not area.n.01 location.n.01: some-not physical_entity.n.01 location.n.01; all physical_entity.n.01 location.n.01
all land.n.04 compiler.n.01, some-not land.n.04 object.n.01: some-not compiler.n.01 object.n.01; all compiler.n.01 object.n.01
all painter.n.01 substance.n.01, some-not painter.n.01 artist.n.01: some-not substance.n.01 artist.n.01; all substance.n.01 artist.n.01
all gem.n.02 physical_entity.n.01, some-not gem.n.02 crystal.n.01: some-not physical_entity.n.01 crystal.n.01; all physical_entity.n.01 crystal.n.01
all antidote.n.01 compartment.n.02, some-not antidote.n.01 remedy.n.02: some-not compartment.n.02 remedy.n.02; all compartment.n.02 remedy.n.02
all customer.n.01 entity.n.01, some-not customer.n.01 consumer.n.01: some-not entity.n.01 consumer.n.01; all entity.n.01 consumer.n.01
all wanderer.n.01 whole.n.02, some-not wanderer.n.01 traveler.n.01: some-not whole.n.02 traveler.n.01; all whole.n.02 traveler.n.01
all group.n.01 object.n.01, some-not group.n.01 abstraction.n.06: some-not object.n.01 abstraction.n.06; all object.n.01 abstraction.n.06
all sensitivity.n.04 legal_document.n.01, some-not sensitivity.n.04 susceptibility.n.01: some-not legal_document.n.01 susceptibility.n.01; all legal_document.n.01 susceptibility.n.01
all testimony.n.01 entity.n.01, some-not testimony.n.01 evidence.n.03: some-not entity.n.01 evidence.n.03; all entity.n.01 evidence.n.03
all dancing.n.01 writing.n.02, some-not dancing.n.01 psychological_feature.n.01: some-not writing.n.02 psychological_feature.n.01; all writing.n.02 psychological_feature.n.01
all thrower.n.02 physical_entity.n.01, some-not thrower.n.02 person.n.01: some-not physical_entity.n.01 person.n.01; all physical_entity.n.01 person.n.01
all nurse.n.01 artifact.n.01, some-not nurse.n.01 health_professional.n.01: some-not artifact.n.01 health_professional.n.01; all artifact.n.01 health_professional.n.01
all principality.n.01 entity.n.01, some-not principality.n.01 domain.n.02: some-not entity.n.01 domain.n.02; all entity.n.01 domain.n.02
all pilgrimage.n.01 entity.n.01, some-not pilgrimage.n.01 journey.n.01: some-not entity.n.01 journey.n.01; all entity.n.01 journey.n.01
all alkaloid.n.01 marker.n.02, some-not alkaloid.n.01 organic_compound.n.01: some-not marker.n.02 organic_compound.n.01; all marker.n.02 organic_compound.n.01
all chamber.n.01 entity.n.01, some-not chamber.n.01 enclosure.n.01: some-not entity.n.01 enclosure.n.01; all entity.n.01 enclosure.n.01
all process.n.05 entity.n.01, some-not process.n.05 body_part.n.01: some-not entity.n.01 body_part.n.01; all entity.n.01 body_part.n.01
all organism.n.01 person.n.01, some-not organism.n.01 living_thing.n.01: some-not person.n.01 living_thing.n.01; all person.n.01 living_thing.n.01
all neurotransmitter.n.01 person.n.01, some-not neurotransmitter.n.01 neurochemical.n.01: some-not person.n.01 neurochemical.n.01; all person.n.01 neurochemical.n.01
all black.n.05 whole.n.02, some-not black.n.05 person.n.01: some-not whole.n.02 person.n.01; all whole.n.02 person.n.01
all christian.n.01 communication.n.02, some-not christian.n.01 religious_person.n.01: some-not communication.n.02 religious_person.n.01; all communication.n.02 religious_person.n.01
all plate.n.02 phenomenon.n.01, some-not plate.n.02 sheet.n.06: some-not phenomenon.n.01 sheet.n.06; all phenomenon.n.01 sheet.n.06
all architect.n.01 drug.n.01, some-not architect.n.01 person.n.01: some-not drug.n.01 person.n.01; all drug.n.01 person.n.01
all christian.n.01 legal_document.n.01, some-not christian.n.01 religious_person.n.01: some-not legal_document.n.01 religious_person.n.01; all legal_document.n.01 religious_person.n.01
all antidote.n.01 entity.n.01, some-not antidote.n.01 remedy.n.02: some-not entity.n.01 remedy.n.02; all entity.n.01 remedy.n.02
all circle.n.08 physical_entity.n.01, some-not circle.n.08 rotating_mechanism.n.01: some-not physical_entity.n.01 rotating_mechanism.n.01; all physical_entity.n.01 rotating_mechanism.n.01
all mischief.n.01 person.n.01, some-not mischief.n.01 misbehavior.n.01: some-not person.n.01 misbehavior.n.01; all person.n.01 misbehavior.n.01
all voodoo.n.03 physical_entity.n.01, some-not voodoo.n.03 cult.n.05: some-not physical_entity.n.01 cult.n.05; all physical_entity.n.01 cult.n.05
all saint.n.02 area.n.05, some-not saint.n.02 good_person.n.01: some-not area.n.05 good_person.n.01; all area.n.05 good_person.n.01
all antiquity.n.03 entity.n.01, some-not antiquity.n.03 artifact.n.01: some-not entity.n.01 artifact.n.01; all entity.n.01 artifact.n.01
all matter.n.03 jelly.n.03, some-not matter.n.03 physical_entity.n.01: some-not jelly.n.03 physical_entity.n.01; all jelly.n.03 physical_entity.n.01
all memorial.n.03 person.n.01, some-not memorial.n.03 structure.n.01: some-not person.n.01 structure.n.01; all person.n.01 structure.n.01
all fluid.n.01 physical_entity.n.01, some-not fluid.n.01 substance.n.01: some-not physical_entity.n.01 substance.n.01; all physical_entity.n.01 substance.n.01
all nonfiction.n.01 structure.n.01, some-not nonfiction.n.01 prose.n.01: some-not structure.n.01 prose.n.01; all structure.n.01 prose.n.01
all commitment.n.04 agent.n.01, some-not commitment.n.04 message.n.02: some-not agent.n.01 message.n.02; all agent.n.01 message.n.02
all guard.n.06 bolshevik.n.02, some-not guard.n.06 military_unit.n.01: some-not bolshevik.n.02 military_unit.n.01; all bolshevik.n.02 military_unit.n.01
all dislike.n.02 physical_entity.n.01, some-not dislike.n.02 feeling.n.01: some-not physical_entity.n.01 feeling.n.01; all physical_entity.n.01 feeling.n.01
all disk.n.02 substance.n.01, some-not disk.n.02 artifact.n.01: some-not substance.n.01 artifact.n.01; all substance.n.01 artifact.n.01
all reflex.n.01 person.n.01, some-not reflex.n.01 reaction.n.03: some-not person.n.01 reaction.n.03; all person.n.01 reaction.n.03
all disgust.n.01 object.n.01, some-not disgust.n.01 dislike.n.02: some-not object.n.01 dislike.n.02; all object.n.01 dislike.n.02
all paper.n.01 living_thing.n.01, some-not paper.n.01 material.n.01: some-not living_thing.n.01 material.n.01; all living_thing.n.01 material.n.01
all crooner.n.01 person.n.01, some-not crooner.n.01 singer.n.01: some-not person.n.01 singer.n.01; all person.n.01 singer.n.01
all circle.n.08 economist.n.01, some-not circle.n.08 rotating_mechanism.n.01: some-not economist.n.01 rotating_mechanism.n.01; all economist.n.01 rotating_mechanism.n.01
all saboteur.n.01 reformer.n.01, some-not saboteur.n.01 destroyer.n.02: some-not reformer.n.01 destroyer.n.02; all reformer.n.01 destroyer.n.02
all doctrine.n.01 biologist.n.01, some-not doctrine.n.01 belief.n.01: some-not biologist.n.01 belief.n.01; all biologist.n.01 belief.n.01
all neurotransmitter.n.01 actor.n.01, some-not neurotransmitter.n.01 neurochemical.n.01: some-not actor.n.01 neurochemical.n.01; all actor.n.01 neurochemical.n.01
all collection.n.01 tank.n.02, some-not collection.n.01 group.n.01: some-not tank.n.02 group.n.01; all tank.n.02 group.n.01
all success.n.01 physical_entity.n.01, some-not success.n.01 happening.n.01: some-not physical_entity.n.01 happening.n.01; all physical_entity.n.01 happening.n.01
all thrower.n.02 capitalist.n.02, some-not thrower.n.02 person.n.01: some-not capitalist.n.02 person.n.01; all capitalist.n.02 person.n.01
all wave.n.01 entity.n.01, some-not wave.n.01 movement.n.03: some-not entity.n.01 movement.n.03; all entity.n.01 movement.n.03
all queen.n.03 communicator.n.01, some-not queen.n.03 female_aristocrat.n.01: some-not communicator.n.01 female_aristocrat.n.01; all communicator.n.01 female_aristocrat.n.01
all coal.n.01 entity.n.01, some-not coal.n.01 matter.n.03: some-not entity.n.01 matter.n.03; all entity.n.01 matter.n.03
all illness.n.01 entity.n.01, some-not illness.n.01 pathological_state.n.01: some-not entity.n.01 pathological_state.n.01; all entity.n.01 pathological_state.n.01
all existentialist.n.01 person.n.01, some-not existentialist.n.01 philosopher.n.01: some-not person.n.01 philosopher.n.01; all person.n.01 philosopher.n.01
all priest.n.01 keeper.n.01, some-not priest.n.01 entity.n.01: some-not keeper.n.01 entity.n.01; all keeper.n.01 entity.n.01
all comedian.n.01 mariner.n.01, some-not comedian.n.01 performer.n.01: some-not mariner.n.01 performer.n.01; all mariner.n.01 performer.n.01
all admiral.n.01 change.v.01, some-not admiral.n.01 flag_officer.n.01: some-not change.v.01 flag_officer.n.01; all change.v.01 flag_officer.n.01
all doctor.n.01 entity.n.01, some-not doctor.n.01 medical_practitioner.n.01: some-not entity.n.01 medical_practitioner.n.01; all entity.n.01 medical_practitioner.n.01
all south.n.01 entity.n.01, some-not south.n.01 geographical_area.n.01: some-not entity.n.01 geographical_area.n.01; all entity.n.01 geographical_area.n.01
all industrialist.n.01 physical_entity.n.01, some-not industrialist.n.01 businessman.n.01: some-not physical_entity.n.01 businessman.n.01; all physical_entity.n.01 businessman.n.01
all horse.n.01 ordering.n.01, some-not horse.n.01 equine.n.01: some-not ordering.n.01 equine.n.01; all ordering.n.01 equine.n.01
all immunodeficiency.n.01 event.n.01, some-not immunodeficiency.n.01 immunological_disorder.n.01: some-not event.n.01 immunological_disorder.n.01; all event.n.01 immunological_disorder.n.01
all instrument.n.01 skilled_worker.n.01, some-not instrument.n.01 device.n.01: some-not skilled_worker.n.01 device.n.01; all skilled_worker.n.01 device.n.01
all torture.n.05 entity.n.01, some-not torture.n.05 persecution.n.01: some-not entity.n.01 persecution.n.01; all entity.n.01 persecution.n.01
all mutilation.n.01 poetess.n.01, some-not mutilation.n.01 injury.n.02: some-not poetess.n.01 injury.n.02; all poetess.n.01 injury.n.02
all spy.n.01 thief.n.01, some-not spy.n.01 secret_agent.n.01: some-not thief.n.01 secret_agent.n.01; all thief.n.01 secret_agent.n.01
all erythema.n.01 entity.n.01, some-not erythema.n.01 erythroderma.n.01: some-not entity.n.01 erythroderma.n.01; all entity.n.01 erythroderma.n.01
all female.n.02 create_from_raw_material.v.01, some-not female.n.02 person.n.01: some-not create_from_raw_material.v.01 person.n.01; all create_from_raw_material.v.01 person.n.01
all musician.n.01 phenomenon.n.01, some-not musician.n.01 performer.n.01: some-not phenomenon.n.01 performer.n.01; all phenomenon.n.01 performer.n.01
all representative.n.01 matter.n.06, some-not representative.n.01 negotiator.n.01: some-not matter.n.06 negotiator.n.01; all matter.n.06 negotiator.n.01
all adverb.n.02 abstraction.n.06, some-not adverb.n.02 modifier.n.01: some-not abstraction.n.06 modifier.n.01; all abstraction.n.06 modifier.n.01
all procedure.n.01 person.n.01, some-not procedure.n.01 activity.n.01: some-not person.n.01 activity.n.01; all person.n.01 activity.n.01
all prohibition.n.02 material.n.01, some-not prohibition.n.02 decree.n.01: some-not material.n.01 decree.n.01; all material.n.01 decree.n.01
all magnet.n.01 entity.n.01, some-not magnet.n.01 device.n.01: some-not entity.n.01 device.n.01; all entity.n.01 device.n.01
all cooperation.n.01 young.n.01, some-not cooperation.n.01 group_action.n.01: some-not young.n.01 group_action.n.01; all young.n.01 group_action.n.01
all adult.n.01 artifact.n.01, some-not adult.n.01 person.n.01: some-not artifact.n.01 person.n.01; all artifact.n.01 person.n.01
all evangelist.n.02 potion.n.01, some-not evangelist.n.02 spiritual_leader.n.01: some-not potion.n.01 spiritual_leader.n.01; all potion.n.01 spiritual_leader.n.01
all humorist.n.01 priest.n.01, some-not humorist.n.01 entertainer.n.01: some-not priest.n.01 entertainer.n.01; all priest.n.01 entertainer.n.01
all record.v.01 physical_entity.n.01, some-not record.v.01 save.v.02: some-not physical_entity.n.01 save.v.02; all physical_entity.n.01 save.v.02
all apparel.n.01 structure.n.01, some-not apparel.n.01 clothing.n.01: some-not structure.n.01 clothing.n.01; all structure.n.01 clothing.n.01
all globulin.n.01 mineral.n.01, some-not globulin.n.01 simple_protein.n.01: some-not mineral.n.01 simple_protein.n.01; all mineral.n.01 simple_protein.n.01
all component.n.03 prayer.n.01, some-not component.n.03 part.n.02: some-not prayer.n.01 part.n.02; all prayer.n.01 part.n.02
all text.n.01 entity.n.01, some-not text.n.01 matter.n.06: some-not entity.n.01 matter.n.06; all entity.n.01 matter.n.06
all vehicle.n.01 machine.n.01, some-not vehicle.n.01 conveyance.n.03: some-not machine.n.01 conveyance.n.03; all machine.n.01 conveyance.n.03
all prospector.n.01 medical_practitioner.n.01, some-not prospector.n.01 miner.n.01: some-not medical_practitioner.n.01 miner.n.01; all medical_practitioner.n.01 miner.n.01
all loop.n.02 symbol.n.01, some-not loop.n.02 simple_closed_curve.n.01: some-not symbol.n.01 simple_closed_curve.n.01; all symbol.n.01 simple_closed_curve.n.01
all archbishop.n.01 ending.n.01, some-not archbishop.n.01 bishop.n.01: some-not ending.n.01 bishop.n.01; all ending.n.01 bishop.n.01
all model.n.04 entity.n.01, some-not model.n.04 representation.n.02: some-not entity.n.01 representation.n.02; all entity.n.01 representation.n.02
all painter.n.01 entity.n.01, some-not painter.n.01 artist.n.01: some-not entity.n.01 artist.n.01; all entity.n.01 artist.n.01
all food.n.01 artifact.n.01, some-not food.n.01 substance.n.07: some-not artifact.n.01 substance.n.07; all artifact.n.01 substance.n.07
all deer.n.01 chemical.n.01, some-not deer.n.01 ruminant.n.01: some-not chemical.n.01 ruminant.n.01; all chemical.n.01 ruminant.n.01
all printer.n.01 physical_entity.n.01, some-not printer.n.01 skilled_worker.n.01: some-not physical_entity.n.01 skilled_worker.n.01; all physical_entity.n.01 skilled_worker.n.01
all loop.n.02 entity.n.01, some-not loop.n.02 simple_closed_curve.n.01: some-not entity.n.01 simple_closed_curve.n.01; all entity.n.01 simple_closed_curve.n.01
all nonfiction.n.01 physical_entity.n.01, some-not nonfiction.n.01 prose.n.01: some-not physical_entity.n.01 prose.n.01; all physical_entity.n.01 prose.n.01
all forestry.n.01 creator.n.02, some-not forestry.n.01 biology.n.01: some-not creator.n.02 biology.n.01; all creator.n.02 biology.n.01
all tenant.n.01 entity.n.01, some-not tenant.n.01 payer.n.01: some-not entity.n.01 payer.n.01; all entity.n.01 payer.n.01
all copyist.n.01 artist.n.01, some-not copyist.n.01 employee.n.01: some-not artist.n.01 employee.n.01; all artist.n.01 employee.n.01
all radiance.n.02 drug.n.01, some-not radiance.n.02 brightness.n.01: some-not drug.n.01 brightness.n.01; all drug.n.01 brightness.n.01
all sweater.n.01 leader.n.01, some-not sweater.n.01 garment.n.01: some-not leader.n.01 garment.n.01; all leader.n.01 garment.n.01
all young.n.01 mourner.n.01, some-not young.n.01 animal.n.01: some-not mourner.n.01 animal.n.01; all mourner.n.01 animal.n.01
all vaporization.n.02 act.n.02, some-not vaporization.n.02 phase_change.n.01: some-not act.n.02 phase_change.n.01; all act.n.02 phase_change.n.01
all berry.n.01 defamation.n.01, some-not berry.n.01 edible_fruit.n.01: some-not defamation.n.01 edible_fruit.n.01; all defamation.n.01 edible_fruit.n.01
all performance.n.02 peripheral.n.01, some-not performance.n.02 presentation.n.02: some-not peripheral.n.01 presentation.n.02; all peripheral.n.01 presentation.n.02
all medicine.n.02 poet.n.01, some-not medicine.n.02 drug.n.01: some-not poet.n.01 drug.n.01; all poet.n.01 drug.n.01
all anesthetic.n.01 engineer.n.01, some-not anesthetic.n.01 drug.n.01: some-not engineer.n.01 drug.n.01; all engineer.n.01 drug.n.01
all bolshevik.n.02 opiate.n.01, some-not bolshevik.n.02 communist.n.02: some-not opiate.n.01 communist.n.02; all opiate.n.01 communist.n.02
all creator.n.02 entity.n.01, some-not creator.n.02 person.n.01: some-not entity.n.01 person.n.01; all entity.n.01 person.n.01
all testimony.n.01 psychological_feature.n.01, some-not testimony.n.01 evidence.n.03: some-not psychological_feature.n.01 evidence.n.03; all psychological_feature.n.01 evidence.n.03
all organism.n.01 adult.n.01, some-not organism.n.01 living_thing.n.01: some-not adult.n.01 living_thing.n.01; all adult.n.01 living_thing.n.01
all preacher.n.01 entity.n.01, some-not preacher.n.01 clergyman.n.01: some-not entity.n.01 clergyman.n.01; all entity.n.01 clergyman.n.01
all enlargement.n.02 evangelist.n.02, some-not enlargement.n.02 state.n.02: some-not evangelist.n.02 state.n.02; all evangelist.n.02 state.n.02
all mineral.n.01 object.n.01, some-not mineral.n.01 material.n.01: some-not object.n.01 material.n.01; all object.n.01 material.n.01
all priest.n.01 preserver.n.03, some-not priest.n.01 entity.n.01: some-not preserver.n.03 entity.n.01; all preserver.n.03 entity.n.01
all cassette.n.01 abstraction.n.06, some-not cassette.n.01 container.n.01: some-not abstraction.n.06 container.n.01; all abstraction.n.06 container.n.01
all toilet.n.01 person.n.01, some-not toilet.n.01 room.n.01: some-not person.n.01 room.n.01; all person.n.01 room.n.01
all propagandist.n.01 aliphatic_compound.n.01, some-not propagandist.n.01 communicator.n.01: some-not aliphatic_compound.n.01 communicator.n.01; all aliphatic_compound.n.01 communicator.n.01
all comedian.n.01 marshal.n.02, some-not comedian.n.01 performer.n.01: some-not marshal.n.02 performer.n.01; all marshal.n.02 performer.n.01
all symptom.n.01 communicator.n.01, some-not symptom.n.01 evidence.n.01: some-not communicator.n.01 evidence.n.01; all communicator.n.01 evidence.n.01
all organic.n.01 physical_entity.n.01, some-not organic.n.01 fertilizer.n.01: some-not physical_entity.n.01 fertilizer.n.01; all physical_entity.n.01 fertilizer.n.01
all saint.n.02 object.n.01, some-not saint.n.02 good_person.n.01: some-not object.n.01 good_person.n.01; all object.n.01 good_person.n.01
all dimension.n.01 body_substance.n.01, some-not dimension.n.01 magnitude.n.01: some-not body_substance.n.01 magnitude.n.01; all body_substance.n.01 magnitude.n.01
all part.n.01 entity.n.01, some-not part.n.01 relation.n.01: some-not entity.n.01 relation.n.01; all entity.n.01 relation.n.01
all acknowledgment.n.03 entity.n.01, some-not acknowledgment.n.03 message.n.02: some-not entity.n.01 message.n.02; all entity.n.01 message.n.02
all pen.n.01 substance.n.07, some-not pen.n.01 writing_implement.n.01: some-not substance.n.07 writing_implement.n.01; all substance.n.07 writing_implement.n.01
all psychologist.n.01 spiritual_leader.n.01, some-not psychologist.n.01 person.n.01: some-not spiritual_leader.n.01 person.n.01; all spiritual_leader.n.01 person.n.01
all music.n.03 spear.n.01, some-not music.n.03 activity.n.01: some-not spear.n.01 activity.n.01; all spear.n.01 activity.n.01
all humanist.n.01 abstraction.n.06, some-not humanist.n.01 scholar.n.01: some-not abstraction.n.06 scholar.n.01; all abstraction.n.06 scholar.n.01
all food.n.01 object.n.01, some-not food.n.01 substance.n.07: some-not object.n.01 substance.n.07; all object.n.01 substance.n.07
all type.n.04 design.n.04, some-not type.n.04 character.n.08: some-not design.n.04 character.n.08; all design.n.04 character.n.08
all cube.n.05 abstraction.n.06, some-not cube.n.05 block.n.01: some-not abstraction.n.06 block.n.01; all abstraction.n.06 block.n.01
all agreement.n.01 natural_object.n.01, some-not agreement.n.01 statement.n.01: some-not natural_object.n.01 statement.n.01; all natural_object.n.01 statement.n.01
all disrespect.n.01 artist.n.01, some-not disrespect.n.01 message.n.02: some-not artist.n.01 message.n.02; all artist.n.01 message.n.02
